Sl no,Tweets,Search key,Feeling
16," #16: @きっど ed ""RT @JackUTS: Happy Birthday Kumiko!久美子誕生日おIn honor, celebrate her best moments 👇👇 #黄前久美子生誕祭 https://t.co/YY7Yjq6v7p""",happy moments,happy
17," #17: @A. 🌻 ed ""I just want to be happy. For the longest I’ve felt lonely and went through some tough depressing moments. I think it’s time I did something that would make me happy""",happy moments,happy
18," #18: @Vanessa Morales ed ""RT @AshTanDefenders: AshTan Moments are the best and makes us happy! Love you tw#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy
19," #19: @ましゅ。 ed ""RT @JackUTS: Happy Birthday Kumiko!久美子誕生日おめでとう！In honor, celebrate her best moments 👇👇 #黄前久美子生誕祭 https://t.co/YY7Yjq6v7p""",happy moments,happy
20," #20: @RANIA🌍💙🌱 ed ""RT @lastvibes: “Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing.”""",happy moments,happy
21," #21: @Simone Malcolm ed ""RT @AlyseZita: I think it’s so important to remember  that we only see ourselves as reflections and in photos,  not during the moments that…""",happy moments,happy
22," #22: @बैकबेंचरThalyariमाईलोर्ड ed ""@roya_musawi @ICRC_af Too good, he creates a good environment and some happy moments in hospital where people tend to be more intense or serious.  #KidsTheBestMedicine""",happy moments,happy
23," #23: @justgabby. ed ""RT @joshturnermusic: To hear @randytravis sing “Amen” Saturday night at the @opry will remain one of the most moving moments of my career.…""",happy moments,happy
24," #24: @هـديــل| Hadeel ed ""Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing*.""",happy moments,happy
25," #25: @sarah rodgers ed ""RT @joshturnermusic: To hear @randytravis sing “Amen” Saturday night at the @opry will remain one of the most moving moments of my career.…""",happy moments,happy
26," #26: @Julien Duncan ed ""RT @frenchscotjeff: Cherish all your happy moments; they make a fine cushion for old age. (Booth Tarkington)A special day today on the…""",happy moments,happy
27," #27: @KZK2 ed ""RT @ParthxHolic: Here’s to the Sweetest person I know❤️Happy Burday Erica🥳May this special day bring you endless joy and tons of precious…""",happy moments,happy
28," #28: @Meta Videos ed ""Happy Moments – Capture Smiles with OPPO F11 Pro – Mate Videos https://t.co/TTSigsxZnE via @YouTube""",happy moments,happy
29," #29: @Cherry🍒Blossom🌸 ed ""RT @AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy
30," #30: @ᴍᴀʀʟᴇɴᴇ ed ""RT @blissedbailey: ‘    “Some of the best moments in life are the ones you can’t tell anyone about. “…""",happy moments,happy
31," #31: @Jamal Samuel ed ""Life is setup to make you believe that most happy moments, will last forever..🤞🏾""",happy moments,happy
32," #32: @Md Maskorul Alom ed ""Happy moments! @ Shopnopuri Dinajpur https://t.co/NL0wg4qx01""",happy moments,happy
33," #33: @69.93% SLAYIN ed ""RT @AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy
34," #34: @• NICK • ed ""@BTS_twt I am so happy that you are happy, and I really want this feeling to be family to you ..What matters most is to see them happy and fulfilled! So be good Hobi, and make the most of all these special moments !! We are here for you and with you ♡We love you, our little sun 💛""",happy moments,happy
35," #35: @24 ed ""Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing""",happy moments,happy
36," #36: @Laura ed ""@BTS_twt @coarselife I'm glad you're spending your time with happy moments and the things you like 😊💜 https://t.co/pdJ43sihsV""",happy moments,happy
37," #37: @- ed ""RT @lastvibes: “Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing.”""",happy moments,happy
38," #38: @chennaidiamonds ed ""#Happy #AkshyaTritiya#diamonds#pure#real#rare#diamonds#celebrations#precious#moments @ Chennai, India https://t.co/w6A26peSIo""",happy moments,happy
39," #39: @Marie ed ""@KentThiry @DaVita A wonderful moment in time.. happy to have been on this journey with you... you will be missed but i know with all my ♥️ Davita is in good hands!! I cherish all the moments 💙💛 thank you. OFA!!!""",happy moments,happy
40," #40: @Narcos ✨ ed ""Happy birthday boy tequila na laging wasak sa inuman! 🍻 Enjoy your day my amigo more lasing moments hahaha sa fb natong video nimo nga  mintras nag kamang ga suka hehe 😘 @mr_swaveh https://t.co/gZ5pCvrBXq""",happy moments,happy
41," #41: @Sheep in Wolf's clothing. ed ""Happy Birthday to my two friends close to my heart <3 @PrettyPaulaChu @imcharlyy Sana makahang-out ko ulit kayo haha. Looking forward to more concerts with you and more bonding moments! I LOVE YOU TWOOOOOO! God Bless sainyo <3.""",happy moments,happy
42," #42: @مي ed ""“Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing.”""",happy moments,happy
43," #43: @Camille ed ""Why Im absolutely positive that true friendship is not about how long youve known someone. Ive been through a lot with this girl in just a short time - funny, happy, sad moments. I will forever treasure those times, @superjhen_. Here's to hoping we'll have more soon. ❤ https://t.co/ncHPaAlinw""",happy moments,happy
44," #44: @Theo saw BTS May 4th ed ""@yoongorgeous @BTS_twt @BigHitEnt Thank you BTS for showing me that my life can have happy moments. Thank you for giving me a reason to smile when I wanted to give up. Thank you for being the reason I have friends so dear to me. ~ Theo 15 🇺🇸""",happy moments,happy
45," #45: @Raein Maizel Hebia ed ""Pero hoooy happy ko para kay daying after all the hilak moments para sa mga tao na way ayo niabot najud sa point nga naa na siyay ipa ila ila sa iyang parents 😍😭. Oh God please di na unta ni sya makafeel ug kasakit 🙏🏻""",happy moments,happy
46," #46: @Tristanne B ed """"Happy moments I praise GodQuiet moments I worship GodDifficult moments I trust GodBut most importantly all moments I thank God.""""",happy moments,happy
47," #47: @chowkidar pawan rajput ed ""RT @SanjayTandonBJP: Happy moments! With Sh @AnupamPKher ji during Nomination Yatra.#LokSabhaElections2019 #PhirEkBaarModiSarkar https://…""",happy moments,happy
48," #48: @Tegernako ed ""RT @HLJoshy: I need you all to pray for me and my baby. I was going to do a cute announcement but right now it’s not happy moments. I am in…""",happy moments,happy
49," #49: @Christopher ed ""RT @joshturnermusic: To hear @randytravis sing “Amen” Saturday night at the @opry will remain one of the most moving moments of my career.…""",happy moments,happy
50," #50: @Jovi fan ed ""@lauren_hoggs Just because people are excited for happy news doesn’t make them not care about sad news. Please don’t ruin a happy moments with politics. Now is not the time""",happy moments,happy
51," #51: @@Bernardo_Castro ed ""@violetaitalia Just think of happy moments ayawg hunahunaa nga sad ka Kay mo Samot kag ka sad ayawg ikulong imong self Ana nga situation life is so beautiful so dont let that thing ruined your day😂 naunsa ko? 😂😂😂😂😂😂""",happy moments,happy
52," #52: @Kelly Waters ed ""RT @joshturnermusic: To hear @randytravis sing “Amen” Saturday night at the @opry will remain one of the most moving moments of my career.…""",happy moments,happy
53," #53: @scott flores ed ""RT @landtshow: Happy first weekend of May Boneheads. To celebrate @1077TheBone presents a #MAYtallica weekend. Listen all weekend long as w…""",happy moments,happy
54," #54: @Minawala ed ""...Happy Akshaya Tritya. Life, they say, is a collection of moments...acquiring  jewels is a celebration of good times. We thank all our patrons who celebrate their… https://t.co/K9FnDlX1yz""",happy moments,happy
55," #55: @Tan Roncal ed ""RT @AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy
56," #56: @Minawala ed ""...Happy Akshaya Tritya. Life, they say, is a collection of moments...acquiring  jewels is a celebration of good times. We thank all our patrons who celebrate their best… https://t.co/rK1Q4KLxb7""",happy moments,happy
57," #57: @HIH Princess Elizabeth Dana Windsor ed ""Amidst the cheap, there were also highly intellectual authorities who said ""I am the best across all the locations.""This moment not to be counted? Count for me only lies of the cheap?  Only grieve and not be happy for these good moments? So. I cling to good moments. Airforce.""",happy moments,happy
58," #58: @Stephanie ed ""RT @slylingualdina: I’ve been feeling happy and blessed in small moments a lot lately but still feel anxious every day. What has been makin…""",happy moments,happy
59," #59: @b ed ""@BTS_twt seeing you saturday was one of the happiest moments in my life, from all the hearts you sent the crowd from your sweet speech. im so happy you exist in my life, you create the most euphoric moments in my life. without you my happiness doesn’t exist i love you hoseok i really do.""",happy moments,happy
60," #60: @Scott A. Williams ed ""Let's be clear, this #AvengersEndgame #Avengers assembled scene was one of the greatest cinematic moments ever. I could literally watch this on loop & be happy. #WhateverItTakes https://t.co/2LFOj1BVZy""",happy moments,happy
61," #61: @[17's  연] ig: precious_svt ed ""RT @insolategogh: seeing the boys remaking their iconic moments, practicing each other songs in a short period of time and getting lots and…""",happy moments,happy
62," #62: @Lourdes Rivera ed ""@HoneyJoonie94 @BTS_twt I love how happy he looks😍😍💜💜 thank you Honey for sharing these precious moments with us💜💜""",happy moments,happy
63," #63: @self lover ed ""HAPPY 18 GAGA @kaerigif LOVE YOUUUUU AND TO MORE KABALIWAN MOMENTS WITH YOU HAHAHAHAHAHAH SA SUSUNOD MAGPA PARTY KA NA JUSKO KA 😂 https://t.co/wEfD13HKFh""",happy moments,happy
64," #64: @Lone Star Aviation Photography ed ""@HeroesandCops You sir are a hero. In that little boys final hours, you gave him a reason to smile and believe. For a few moments of his life on Friday, everything was going to be okay and he was happy. You are an angel and someone that I would be honored to meet in person someday.""",happy moments,happy
65," #65: @Make it right💜 ed ""You have many more happy moments to come your way baby 😘😘😘 https://t.co/EnMhhJ59o8""",happy moments,happy
66," #66: @eleanor ed ""RT @MirayaDizon1: Time is ticking fast. Relive the past happy moments while we can. Be the joy to everyone's face. #MaineLovesMAC #ALDUBW…""",happy moments,happy
67," #67: @Morgenstern siblings 🖤 ed ""Thank you to everyone #ShadowhuntersChat @Kat_McNamara specially to you. You turned my world upside down just like clary’s. I will always follow you because you made me really happy in my saddest moments. You truly saved me. So, for that, thank you 🧡""",happy moments,happy
68," #68: @アッシュ＠DJデミオ15Ｓマニュアル ed ""RT @doorfumi2018: こっそり出ていくつもりだったが、トガリくんとノラくんが、俺を見送ってくれたぜ。ありがとう。このモーメントで、3日間のお話は一旦おわり。@togarirecords をフォローして、いつか俺らが再会するときを待っててくれよな。https…""",happy moments,happy
69," #69: @Kia🧸 ed ""RT @SophieT: #WorldMentalHealthDay I understand your pain. Trust me, I do. I’ve seen people go from the darkest moments in their lives to l…""",happy moments,happy
70," #70: @MY BABY💚SOPE🇨🇳 ed ""RT @MY_AURORA_SUGA: @SUGACoffee309 To SUGACoffee:Hope you'll happy forever♡Just like Hoseok said""Do everything what you want to do""Thank…""",happy moments,happy
71," #71: @Renllyred03 ed ""RT @WayV_official: HAPPY MOMENTS AS ONE♡ #WayV #WeiShenV #威神V#KUN #钱锟 #WINWIN #董思成 #TEN #李永钦 #LUCAS #黄旭熙 #HENDERY #黄冠亨 #XIAOJUN #肖俊 #YAN…""",happy moments,happy
72," #72: @☮︎ Meredith Hale ed ""RT @joshturnermusic: To hear @randytravis sing “Amen” Saturday night at the @opry will remain one of the most moving moments of my career.…""",happy moments,happy
73," #1: @💐𝑹𝒆𝒎𝒊𝒏𝒈𝒕𝒐𝒏🐭💐/2jin au 🕵️‍♀📌 ed ""RT @hyunseuluttd: loona as the amazing world of gumball; a thread https://t.co/1gQunibqxb""",amazing,happy
74," #2: @Yudiansyah Muhammad ed ""RT @GooglePlayDev: The 2019 #GooglePlay Awards at #io19 have just wrapped up, celebrating top #Android apps and games across 9 categories.…""",amazing,happy
75," #3: @Keith T. Greene ed ""RT @Wendys: THIS IS NOT A DRILL! Spicy Chicken Nuggets are coming back! Y’all are crazy! That took like a day and a half! WHAT?!We don’t…""",amazing,happy
76," #4: @えれな ed ""RT @_fatpanda_v: let's get this straight. monbebes love mx for their stupid ass personalities, and their amazing talent and music. we get o…""",amazing,happy
77," #5: @Edgar ed ""Urias was amazing in his first save opportunity, might be smart to limit Jansen to two days back to back and use Urias if needed on the third.""",amazing,happy
78," #6: @channing ed ""@KunjaloD @lyliahmtaylor she’s amazing""",amazing,happy
79," #7: @lex❁ ed ""RT @Nazaninkavari: She looks AMAZING 😍 https://t.co/wrvhLG8bJo""",amazing,happy
80," #8: @loveBTS❣LEGENDS ed ""@BVT_INFOS @BTS_twt voting for our amazing vocal line#MTVBRFANDOMBTSARMY + #PremiosMTVMiaw @BTS_twt""",amazing,happy
81," #9: @Sidling Wipeslit*🔸🇪🇺 ed ""@CherylBullen Amazing pic!""",amazing,happy
82," #10: @Alison With One L ed ""RT @Lord_Kristine: The case for replacing confederate monuments with bad triceratops statues:1. They are infinitely more entertaining.2.…""",amazing,happy
83," #11: @KC Dags ed ""RT @SolanjM: I have the best interpreters and translator ever. Shout out to these amazing women for making us Deaf Armys feel included. Th…""",amazing,happy
84," #12: @boy tambay ed ""@hearditright @inquirerdotnet @JMAurelioINQ I am basing my actions ser based from my own experience. Did Panelo say migraine aura by the way?""",amazing,happy
85," #13: @Mimmiii ed ""RT @Michelle101895: I know that not many ppl are going to read this...but I have to put this out in the universe, for myself. @BTS_twt at t…""",amazing,happy
86," #14: @Richard Peters ed ""RT @_ConnerBrown_: In the open source spirit, here are the slides to ""How Bitcoin will change the world."" I use this to teach Bitcoin and…""",amazing,happy
87," #15: @Vênus 💜 ed ""RT @chrisevansbrcom: Talented, brilliant, incredible, amazing, show-stopping, spectacular, totally unique. #AvengersEndgame https://t.co/dl…""",amazing,happy
88," #16: @Running Susi ed ""When you can‘t beat everyone with an amazing dress on the red carpet anymore you have to change your outfit four times. 😉 #MetGala #LadyGaga https://t.co/pAvZBugeC3""",amazing,happy
89," #17: @Maria Nymand ed ""My baby looking AMAZING WoWw https://t.co/Txit9dLNim""",amazing,happy
90," #18: @irma ed ""RT @pirogtm: ‘it’s worth it to stay alive’hearing these words from tyler along with legend is a massive impetus we all needed. this amazin…""",amazing,happy
91," #19: @G ThE QuEeN👸👑 ed ""RT @khloekardashian: The fashion at the Met Gala is amazing #MetGala""",amazing,happy
92," #20: @Dubs ed ""@BrandonDavisBD @Russo_Brothers #EveningWithJoe That was an amazing interview, thank you to Brandon for asking my question and thank you to Joe for answering.  Excited to receive the Infinity Guantlet. You can hear the Question/Answer at 47:50. https://t.co/TiydbeHep9""",amazing,happy
93," #21: @maddie 🍂 ed ""Serena Williams looks AMAZING she is so powerful https://t.co/UvyaDPgxdE""",amazing,happy
94," #22: @Courtney Holland 🇺🇸 ed ""#NewProfilePic in honor of @OfficeOfMike Wouldn’t it be amazing to show our support for Mike by all changing our profile pictures to this? https://t.co/BHkJXYJWk3""",amazing,happy
95," #23: @🌸 Map of the Seoul 🌸 ed ""RT @ARMYMAGofficial: [#BTSonMedia]🍀KBS News reported on @BTS_twt’s concert at @RoseBowlStadium.Knowing that so many homes in South Kore…""",amazing,happy
96," #24: @b i á. ed ""You are beautifulYou are kindYou are smartYou are lovelyYou are gorgeousYou are amazingYou are strongYou are braveYou are perfectand yes, you are worth it. ♥️""",amazing,happy
97," #25: @cc22 ed ""RT @ARMYMAGofficial: [#BoyWithCamp]🍀It is amazing to see the #MetGala celebrities wearing styles @BTS_twt has previously worn throughout…""",amazing,happy
98," #26: @⍟ Mariah ⎊ ed ""@jesmacallan @SisaGrey @andrea @tseky You guys were amazing!!""",amazing,happy
99," #27: @mirnot ed ""RT @mommy_tanya: Real quick here. The concert was magical and truly amazing! @BTS_twt boys seriously did a hard work, they performed at mo…""",amazing,happy
100," #28: @xTheGreyStone ed ""What an amazing stream, can’t thank @MarleyBarbie__ for the host and raid and happy I could pay it forward to @fivebyfivex with the people I managed to keep around 😂 can’t be any happier that I started this journey with everyone! ✌🏼""",amazing,happy
101," #29: @small thing pjm 💜 ed ""@BTS_twt HAVE FUN!! The movie's really amazing but prepare tissues or hanky just in case 😉""",amazing,happy
102," #30: @P.K.s PowerfromSpace 🚀 ed ""RT @weschatham: She took out the night king. She is that guy! RT @DiaTriose: Arya and Amos would be an amazing pair in a fight #TheExpanse…""",amazing,happy
103," #31: @Debs ed ""@bodegasandblood Damn he looks amazing😍""",amazing,happy
104," #32: @ANDROJINNI ed ""IM CRYING THIS IS AMAZING https://t.co/hnBvjXM3ts""",amazing,happy
105," #33: @Andrew ed ""RT @Tempe_SD: Check out Boothiful tonight on Twitch!! He’s having a Mental Health Monday and it is a legit time to talk to someone if you n…""",amazing,happy
106," #34: @Al Quartemont ed ""I'll miss Norah in the AM, but what an amazing quote to sum up her opportunity. Go get 'em, @NorahODonnell! https://t.co/vKGUziREr8""",amazing,happy
107," #35: @Edwin ed ""RT @jimrome: Celtics getting booed at home in Game 4 is amazing. And they deserve it""",amazing,happy
108," #36: @Gwen❗️ ed ""Also Humanz is amazing y’all are just mean""",amazing,happy
109," #37: @steve sumner ed ""RT @Nataliew1020: This story will air this Friday. It's one of the most emotional interviews I've ever given. I'm glad they'll be sharing a…""",amazing,happy
110," #38: @Tamar 🥀 ed ""RT @fashioniconluke: little women is looking amazing so far https://t.co/5qEbWzS6Nm""",amazing,happy
111," #39: @ㅇ ed ""RT @geophotos9: Amazing things https://t.co/IkCSfTO5U6""",amazing,happy
112," #40: @Kani♡Hansu ed ""Happy birthday  @Atharvaamurali 💐🎁🎊🎉🎂Wishing you lots of success for #100theMovie 👍🏼Have an amazing year ahead.Lots of love  from @ihansika fans 💫🌺Waiting for this movie 😍 https://t.co/fUgxyRznlV""",amazing,happy
113," #41: @MBS Creativity, LLC ed ""RT @LiftUpMKE: Hack a Pipeline was a great event, but the mentors made it go from great to AMAZING! Thank you to all the mentors.  We wish…""",amazing,happy
114," #42: @Erika ed ""RT @ARMYMAGofficial: [#BoyWithCamp]🍀It is amazing to see the #MetGala celebrities wearing styles @BTS_twt has previously worn throughout…""",amazing,happy
115," #43: @Mr.GoodCat ed ""RT @oranicuhh: women are fuckin amazing.""",amazing,happy
116," #44: @GummyMin with Luv #PersonaBillboardNo1 ed ""@BTS_twt I also get excited every time I hear the song playing in the radio or a public place. You guys are amazing! Enjoy the movie!#PremiosMTVMIAW #MTVLAFANDOMBTSARMY @BTS_twt""",amazing,happy
117," #45: @Eugen St ed ""@Kat_McNamara @ShadowhuntersTV Thank You for a wonderful Show !✨ You are amazing on frist day and on last day !✨ Magic Beauty ✨❤""",amazing,happy
118," #46: @Conservative Patriot 🇺🇲🇮🇱⭐⭐⭐ ed ""What an amazing child... https://t.co/yMkRadJdgm""",amazing,happy
119," #47: @07 ed ""it seems like billie is having such an amazing day im so happt for her omg""",amazing,happy
120," #48: @Kayayayayyysune 🦇 ed ""@SheepEva11 AWA THANK YOUUU 💖💖💖 she did such an amazing job, I can’t stop staring at it 😍""",amazing,happy
121," #49: @Levelyn ed ""RT @Wendys: THIS IS NOT A DRILL! Spicy Chicken Nuggets are coming back! Y’all are crazy! That took like a day and a half! WHAT?!We don’t…""",amazing,happy
122," #50: @PH Plasticos Hoyos ed ""meeting amazing women in different industries.  @cruzkarenkc The best thing is the positive energy. All emphasizing the mind, soul and the body and We decided to share our inspiration product with empowering women @happymomconference  #paseocolorado thank you @_maramartin_ https://t.co/oxR5h9rclC""",amazing,happy
123," #51: @Gang-Star 🤩 ed ""RT @Wendys: THIS IS NOT A DRILL! Spicy Chicken Nuggets are coming back! Y’all are crazy! That took like a day and a half! WHAT?!We don’t…""",amazing,happy
124," #52: @Maremmarally.com ed ""#rally #racing #wrc #motorsport #rallye #wrx #maremmarally #nikon #amazing #follow #car #drive #driver #lanciadelta #lancias4 #lancia #martini #martiniracing #s4 #terra https://t.co/dPfgFtx55Y""",amazing,happy
125," #53: @main ed ""RT @twentyonepilots: here are winners from our @creativeallies contest but canada this time. shoutout to Daniel, Emma, Allison, Cheyenne, L…""",amazing,happy
126," #54: @Matthew Miceli ed ""My amazing Margherita #pizza ... @MiceliBrothers re if you love it! https://t.co/6wjPwJdnXp""",amazing,happy
127," #55: @dogslovesushi ed ""'It's amazing to me': Meet the Inuk elder in this photo shared around the worldhttps://t.co/xDDyqm2YTQ https://t.co/zTuRWy5ZPD""",amazing,happy
128," #56: @hi my name is Lin memeranda ed ""@Lin_Manuel @LighterWay2Live Yes I saw that she's amazing""",amazing,happy
129," #57: @songs from the big vitchair ed ""RT @respektor: She gave the most amazing nose kisses! I'm smitten with your pup! Thanks for sharing her with dogless me 🐶. For now I dream.…""",amazing,happy
130," #58: @Ana Escobedo ed ""@MaldonadoLAUSD @lausdLDE @LASchools @Monica4LA You’re an amazing role model for our students, glad they were able to hear your inspirational story.  So proud of you!👏👏👏""",amazing,happy
131," #59: @AG ed ""RT @ChelseaAlece: Pregnancy is amazing Giving birth is incredible. My heart goes out to the women who are unable to experience it, it’s a…""",amazing,happy
132," #60: @STAR/PAL ed ""@sdprobation @LA_Chargers1960 Thank you for being our amazing volunteers!! Makes these camps possible for the kiddos 🤗""",amazing,happy
133," #61: @LV ed ""Amazing analysis as always Mr Johnson, if only there was a job where you could maybe build your own team to have a legendary rivalry like these guys did! https://t.co/IjmnzcBFiu""",amazing,happy
134," #62: @Nicole.nrc ed ""RT @DavidLCastro_: Thank you to everyone who supported me through this journey of becoming Raphael Santiago. lt was truly an honor. Thank y…""",amazing,happy
135," #63: @𝒂𝒏𝒏𝒂 (nsfr) ed ""not to be gross but im just rlly proud of harry for wearing a lace shirt like it’s such a highly feminized piece of clothing which is going to make a lot of ignorant locals talk about/question his sexuality which i know he hates but he looked so amazing n confident he killed it""",amazing,happy
136," #64: @Dr Darren Saunders ed ""@KetanJ0 have you been to Vigeland park yet? amazing""",amazing,happy
137," #65: @zhiqz ed ""RT @reveluvunion: ReVeluvs!! It's finally here! Let's all collaborate our efforts into making an amazing summer comeback for Red Velvet. Do…""",amazing,happy
138," #66: @Nicole Perlroth ed ""RT @jacklgoldsmith: Amazing story.  As Hayden said elsewhere: ""If they cannot protect the tools, I just can't mount the argument to defend…""",amazing,happy
139," #67: @wybie ed ""just tried chocolate almond milk........ amazing""",amazing,happy
140," #68: @Coline ed ""RT @twentyonepilots: here are winners from our @creativeallies contest but canada this time. shoutout to Daniel, Emma, Allison, Cheyenne, L…""",amazing,happy
141," #69: @MilesforWishes ed ""About last night🤩, so nervous I forgot to ask for a photo, dragged back for this one (thnks Louise)Amazing evening a loads to take away for my own journey and upcoming Solo Welsh Three Peaks cycling record attempt.Planning & Team are 🔑 to success#UKCycleChat #cycling https://t.co/y3LDXz61Yl""",amazing,happy
142," #70: @Jacob ed ""@ashleyytaylur Duuude i dont even know you and I have faith in you !!😅 You’ve gotta have faith in yourself , your voice is fr amazing !! 😍 keep it up and watch what happens , fr 💯🙌🏼""",amazing,happy
143," #71: @Zeli ed ""RT @SolanjM: I have the best interpreters and translator ever. Shout out to these amazing women for making us Deaf Armys feel included. th…""",amazing,happy
144," #72: @үcя-ℓ ed ""RT @LayZhangSupport: We are soon reaching 5k followers! And we haven't even turned 1 yet! 🎉 You guys are amazing! 💕 Thank you for the endle…""",amazing,happy
145," #73: @Tu Nanga Hi Tho Aaya Hai🐵 ed ""Amazing 👌 https://t.co/54i0C1NboE""",amazing,happy
146," #74: @Atsuko🌻mocoﾏﾏ♪ ed ""RT @rypaffo: You guys are amazing making these GIFs 😭 you'll see some tonight! Thank you!!!!!Tonight I'll start at 10pm!And here is How…""",amazing,happy
147," #75: @waluigbot ed ""Waluigi is amazing and deserves a spot in the Smash Bros roster. Do you like Waluigi?""",amazing,happy
148," #76: @よぴにゃん ed ""RT @WentworthLadies: Better late than never😀Who would have known 6 years ago just how popular Wentworth would become? We have loved belove…""",amazing,happy
149," #77: @#ElliB ed ""RT @janasiaariana: crazy that Zendaya had to carry the #MetGala this year without the help of Rihanna and Beyoncé. you did amazing bby. ❤️…""",amazing,happy
150," #78: @Bravo Logger ed ""RT @TeamArianaMadix: Wow, @ariana2525 showing her scar like a boss. You’re so amazing bb. 💖 #PumpRules""",amazing,happy
151," #79: @i miss wallows ed ""@joyagainonline you guys did amazing tonight !!!!""",amazing,happy
152," #80: @mi ho ed ""RT @SolanjM: I have the best interpreters and translator ever. Shout out to these amazing women for making us Deaf Armys feel included. Th…""",amazing,happy
153," #1: @Will Graham ed ""@robins_of -The unfamiliar dog runs, too, surprised by the bustle and the sudden appearance of the scraggly-looking man. It comes to a stop beneath a crooked tree, and pants heavily while looking across at him. Satisfied that his pack is safe, at least for the moment, Will ventures another-""",satisfied,happy
154," #2: @XxAmeliaXx ed ""RT @carolecadwalla: Nigel Farage’s LeaveEU campaign was found broke law & has been referred to police. In a separate year-long investigatio…""",satisfied,happy
