,usuario,texto,depressao,texto_traduzido
16,lIlIIIlllllIII,"esses cara 

HOJE

ganhariam uma md3 do @mibr atual com uma certa facilidade https://t.co/XWokBL1eJA",1,"these guy

TODAY

would win a md3 from the current @mibr with a certain ease https://t.co/XWokBL1eJA"
17,wtfnatan,"madrugada jogando uno com meus pais e os amigos deles, amo!!!",1,"dawn playing one with my parents and their friends, love !!!"
18,fuckjxxnny_oh,se tu acha q tem algum problema o bagulho eh procurar ajuda profissional nn procurar um teste na internet e compartilhar com outras pessoas como se isso fosse um diagnóstico super confiável,1,"if you think you have a problem, the thing is to seek professional help nn look for a test on the internet and share it with other people as if it were a super reliable diagnosis"
19,kaguriri,ui ui desabafei/,1,ui ui unburdened /
20,babiisouuzza,eu mesma https://t.co/YlIrzkzSPE,0,myself https://t.co/YlIrzkzSPE
21,anapaulaboz,"Chegou o setembro amarelo!
Sem mimimi, se você tem um familiar ou amigo que anda pra baixo, passando por coisas difíceis ou até que já foi diagnosticado com depressão vá conversar, tire um tempo seu para isso, vai fazer uma grande diferença! 🎗️💛",1,"The yellow September has arrived!
Without mimimi, if you have a family member or friend who walks down, going through difficult things or until you have been diagnosed with depression go talk, take your time for this, it will make a big difference! 🎗️💛"
22,mafeph_,"É, meu amigo, só resta uma certeza
É preciso acabar com essa tristeza
É preciso inventar de novo o amor",0,"Yeah, my friend, there's only one certainty left
We need to end this sadness
Love must be invented again"
23,themracle,como eu odeio gente que fica se auto diagnosticado falando que tem depressao ansiedade e afins,1,how I hate people who are self diagnosed saying they have depression anxiety and the like
24,agronbernardes,nossa botei muita espectativa pra não gostar muito desse musical,0,we put a lot of expectation to not like this musical very much
25,mingyubabie,ela não é triste mas quando eu to triste ela me soa sofrida aos ouvidos parece que estou tomando uma facada de nam woohyun,0,she's not sad but when i'm sad she sounds painful to me it feels like i'm taking a stab from nam woohyun
26,mystickka,ai.. https://t.co/SZ0iWZcpyq,0,there .. https://t.co/SZ0iWZcpyq
27,lIlIIIlllllIII,hoje nao abin https://t.co/MWAUC8l9Se,1,today don't abin https://t.co/MWAUC8l9Se
28,BegnisAna,eu to morrendo de sono e o pai d queijo ainda n assou,1,I'm dying of sleep and the father of cheese has not yet baked
29,rafaelbttncrt,acho que estou assimilando sim que a estética de rafael bittencourt é a coleção de toquinha,1,I think I am assimilating that the aesthetic of Rafael Bittencourt is the collection of toquinha
30,expansaomental,Recomendação animers ou séries,1,Recommendation animers or series
31,abiiior,fumantes fedem,0,smokers stink
32,trevarrowlare,"não é real isso que acabou de acontecer com o stryker, me recuso a acreditar",0,"it is not real what just happened to the stryker, i refuse to believe"
33,lucacdornelles,"MANDA CHAMAR O VIADO DO SOMÁLIA, CARALHO",1,"MANDA CALL THE SIGH OF THE SOMALIA, FUCK"
34,expansaomental,"gamers antigamente: vamos jogar esse rpg aqui mesmo nao sabendo falar russo nós em grupo iremos conseguir sera uma batalha ardua e tenebrosa mas não desistiremos de ficar 29h por dia no pc

gamers hoje em dia: among us",1,"gamers in the past: let's play this rpg right here, not knowing how to speak russian, we as a group will manage to be an arduous and tenebrous battle but we will not give up staying 29h a day on the pc

gamers today: among us"
35,MandsLoyy,"E o namoradin da minha mãe, ouvir eu conversando com ela pedindo sorvete de flocos. Ele foi lá e comprou vei....... oq tá acontecendo?? Kkkkkkk",0,"And my mom's girlfriend, listening to me talking to her asking for flakes ice cream. He went there and bought it ....... what's going on ?? Kkkkkkk"
36,deryluvz,"depende, se a escrita for boa n é cansativa https://t.co/rDAuSTAdNL",0,"depends, if the writing is good n is tiring https://t.co/rDAuSTAdNL"
37,almeidaGui0114,Será que vai existir algo ou alguém que vai me irritar igual ou mais que o Inter?,1,Will there be something or someone that will irritate me just as much or more than Inter?
38,rammassss,incrível como estamos vivendo um verão no inverno...,1,amazing how we're living a summer in the winter ...
39,jotafxpt,vou de giro ali no campo✌🏾,0,I'm going there in the field✌🏾
40,maldcarol,é foda vc se importar com a pessoa e ela só agir na grosseria,1,fuck you care about the person and they just act rudely
41,soerseI,"fui fazer entrega hj e a cliente:
""nossa vc eh baixinhaaaaa jurava q tinha 1,80""
eu: https://t.co/72TEjKkwe7",0,"I went to deliver today and to the client:
""Wow, you are swearing that you had 1.80""
me: https://t.co/72TEjKkwe7"
42,odeiobozonaro,"Eles eram amigos e do mesmo partido. Pelo amor, né. O problema é venderem camisas com a imagem dela https://t.co/CNYlfCWsN1",1,"They were friends and from the same party. For love, right. The problem is selling shirts with her image https://t.co/CNYlfCWsN1"
43,agronbernardes,queria os dois https://t.co/qWsmsQROOj,0,I wanted them both https://t.co/qWsmsQROOj
44,babiisouuzza,"todo mundo com os amigos, saindo com a família e estou eu e eu aqui em casa sozinha, triste😩",0,"everyone with friends, going out with the family and I and I are here at home alone, sad😩"
45,titiawanne,"tem esse aqui tbm, muito bom kkk https://t.co/FBIh68ON27",0,"have this one too, very good kkk https://t.co/FBIh68ON27"
46,henriquefobico,como assim vc nao me elogia porque eu sou feio,0,how come you don't praise me because I'm ugly
47,titiawanne,"se a Graça tá triste, eu tô feliz
se a Graça tá chorando, eu estou sorrindo #ChocolateComPimentaNoVIVA",0,"if Graça is sad, I'm happy
if Graça is crying, I'm smiling #ChocolateComPimentaNoVIVA"
48,euiasmimlima,Mano como assim já é setembro ???? 9º mês do ano e eu não fiz absolutamente nada !!! ✨🤡,0,Man how is it already September ???? 9th month of the year and I did absolutely nothing !!! ✨🤡
49,duardokkkjj,"faz tanto tempo q eu n danço break bem, pelamor",0,"it’s been so long that I don’t dance break well, for love"
50,jorginph,minhas foto com a Carol tendo menos curtidas que só as dela 😀 https://t.co/Um4z9k7sFs,0,my photos with Carol having less likes than just hers 😀 https://t.co/Um4z9k7sFs
51,onlyparrillax,pelo jeito que as coisas tão indo nem precisava ter cancelado carnaval né já tá todo mundo aglomerando normalmente como se não existisse mais pandemia,1,"by the way things are going, there was no need to cancel carnival, right?"
52,mrcomsts,Empolgado com esse novo filme da Netflix 🥶🥶,0,Excited about this new Netflix movie 🥶🥶
53,38_rodry,"A pressão é grande, alguns tem dor de cabeça, outros dor de barriga, outros tem depressão, outros tem ancia de vômito, outros tem síndrome do pânico e outros tem alteração na próstata. 🤣🤣🤣 Segura Witzel...E ainda vai piorar. https://t.co/svPU2yEg6u",0,"The pressure is great, some have a headache, others have a stomach ache, others have depression, others have anguish of vomiting, others have panic syndrome and others have changes in the prostate. 🤣🤣🤣 Safe Witzel ... And it will get worse. https://t.co/svPU2yEg6u"
54,niih_monteiiro,Pela primeira vez acertaram meu nome na comanda do BK https://t.co/ZuF5PCkDFw,0,For the first time they hit my name at the command of BK https://t.co/ZuF5PCkDFw
55,sosawell7777,bah mano como que fiquei 6 meses sem terapia numa quarentena isso foi o ápice da minha autosabotagem,0,bah bro how I spent 6 months without therapy in a quarantine that was the culmination of my self-sabotage
56,niih_monteiiro,Temos a derrota da noite,0,We have the defeat of the night
57,queenyyeri,"5 reais fotos individuais, vamos comprar? https://t.co/hE0lg8yE2t",1,"5 real individual photos, shall we buy? https://t.co/hE0lg8yE2t"
58,fuckjxxnny_oh,eu nao tenho sossego na moral eh tpm período fértil menstruação colica e a putwq pariu,1,I have no peace of mind eh tpm fertile period menstruation colic and putwq calved
59,MalheiroReis,"Durante a noite eu fico a pensar o quanto eu mudei, eu amadureci, eu já sei coisas que não sabia antes, tenho mais coisas para me preocupar, a minha cabeça a explodir! 

Eu só queria voltar atrás quando eu só pensa em me divertir",0,"During the night I wonder how much I have changed, I have matured, I already know things I didn't know before, I have more things to worry about, my head exploding!

I just wanted to go back when I just think about having fun"
60,sicmunddus,ai meu deus estou triste agora,0,oh my god i'm sad now
61,ncpvnk,Nossa muito. Tenho transtorno de depressão e ansiedade diagnosticado por psicóloga e psiquiatra e ainda fico hmmm kk https://t.co/avL1M35jMt,1,Wow a lot. I have depression and anxiety disorder diagnosed by a psychologist and psychiatrist and I'm still hmmm kk https://t.co/avL1M35jMt
62,sosawell7777,cada dia mais ******* mas aprendendo cada dia mais,0,******* every day but learning more every day
63,abiiior,"virei um homem emotivo

chorei com ""a origem"" do DiCaprio",0,"I became an emotional man

I cried with ""the origin"" of DiCaprio"
64,FroessNa,Ainda to besta... poderia ter aceitado e encontrado meu sugar daddy lá Kkkkkkk,0,Still to beast ... could have accepted and found my sugar daddy there Kkkkkkk
65,stan_stanbp,"Pqp 200 AHHAHAHAHAHAHHAHAHAHHHAHAHHDJAJSNSJNSKSNSJSJSJJSJ

Podem pedir qualquer coisa,a coisa mais falada vou fazer sem falta

Quer dizer dependendo kkk",0,"200 AHHAHAHAHAHAHHAHAHAHHHAHAHHDJAJSNSJNSKSNSJSJSJJSJ

You can ask for anything, the most talked about thing I will do without fail

I mean depending kkk"
66,rafaelbttncrt,fazer um curso online gratuito que é a venda de um curso online pago,1,take a free online course which is selling a paid online course
67,rnnpgn,"Cara, dei uma volta em TB pra pegar um sorvete hoje e me senti um ET. Só eu usando máscara.",0,"Man, I took a walk around TB to get an ice cream today and I felt like an ET. Just me wearing a mask."
68,rnnpgn,"A mais nova onda de merda tá na tag que ergueram pra falar do curso da @GabrielaPrioli

Pelo amor de Deus deixa as pessoas vender o que quiser, comprar o que quiser, é INTRO À POLÍTICA, 2+2 vai continuar sendo 4 com a Dilma ou o Guedes ensinando

pqp vão achar o que fazer",0,"The newest wave of shit is in the tag they raised to talk about the course of @GabrielaPrioli

For the love of God, let people sell what they want, buy what they want, it's INTRO TO POLICY, 2 + 2 will continue to be 4 with Dilma or Guedes teaching

pqp will find what to do"
69,buyuzinha,Primeira coisa que aprendi na vidinha de dj sdds Laurent https://t.co/bRQljMi2jR,1,First thing I learned in the little life of dj sdds Laurent https://t.co/bRQljMi2jR
70,denisrtorres,minha vida é assim https://t.co/aEYuXW0esZ,0,my life is like this https://t.co/aEYuXW0esZ
71,marilia1808,gatilho? https://t.co/XNR3SYhQwl,0,trigger? https://t.co/XNR3SYhQwl
72,ellieonardo,"ou tu é corinthiano ou tu é feliz
por isso fui diagnosticado com DEPRESSÃO PROFUNDA",0,"or you are corinthian or you are happy
so I was diagnosed with DEEP DEPRESSION"
73,duartecfsilva,Isso ai é pelo do cu meu amor https://t.co/v4QpDgSHMy,0,"This is for my ass, my love https://t.co/v4QpDgSHMy"
74,kataventu,:*muaah https://t.co/zo9a8f7VBc https://t.co/CA4TgcT4pk,0,: * muaah https://t.co/zo9a8f7VBc https://t.co/CA4TgcT4pk
75,sosawell7777,setembro amarelo de cu é rola,0,september yellow ass
76,sweetnesslau,De Jong com o uniforme da Holanda😍😍😍😍,0,De Jong in the Netherlands uniform😍😍😍😍
77,fuckjxxnny_oh,fodsse caralho tilto mesmo odeio quem romantiza deprwssao e ansiedade,1,fuck fuck tilto even hate those who romanticize deprwssao and anxiety
78,ccatrasgf,9 reais 200g de queijo   como se a vida ja nao tivesse uma MERDA https://t.co/SZKB7lCt6f,0,9 reais 200g of cheese as if life no longer had a SHIT https://t.co/SZKB7lCt6f
79,ajutsusexy,melhor coisa q eu faço é me afastar.,0,best thing I do is walk away.
80,mystickka,ESSA TIRAGEM FOI ESPECIFICAMENTE PRA MIM... https://t.co/YQjnqA2PMu,0,THIS SHOOT WAS SPECIFICALLY FOR ME ... https://t.co/YQjnqA2PMu
81,kataventu,ok estou cheia de medo de recomeçar as aulas pq eu caio sempre num estado lastimoso eu n quero voltar a vomitar o pequeno almoço for no reason o meu sistema nervoso n digere NADA bem rotinas vala deixem me apreciar as coisas eu gosto de ir à escola gosto de acordar cedo gosto do,0,ok i'm full of fear of starting classes again because i always fall into a pitiful state i don't want to throw up breakfast again for no reason my nervous system digests NOTHING well routines ditch let me enjoy things i like going to school i like to wake up early I like the
82,Layllarexl,Eu tô assim https://t.co/BArHXjH7wC,0,I'm like this https://t.co/BArHXjH7wC
83,haechanvoir,iti obrigado!! o seu tbm eh lindo https://t.co/LFyCU5EjqE,1,iti thanks !! your tbm is beautiful https://t.co/LFyCU5EjqE
84,rafaelbttncrt,"chega setembro e começam a me bombardear de pergunta pedindo ajuda pra ações sobre suicídio

vocês não tem o mínimo de noção, sério",1,"September arrives and they start bombarding me with questions asking for help with actions on suicide

you don't have a clue, seriously"
85,mrcomsts,Melhor vídeo de hoje poha https://t.co/cqnccY7MdQ,0,Today's best video https://t.co/cqnccY7MdQ
86,martsjae,"levei 9 unfs grande dia, yg vc me paga",0,"it took me 9 unfs big day, yg you pay me"
87,lwjhgj,"Estava trocando carícias com Wei Ying. E prestes a dormir, deitei a cabeça em seu peito. Mania que tenho",0,"He was exchanging caresses with Wei Ying. And about to sleep, I laid my head on his chest. Mania I have"
88,iasinhax,qria faze outra tattoo,0,do another tattoo
89,Skyeccho_,é ele nn se negou,1,is he did not refuse
90,oliveiira_jeann,Cada foto é um tiro né,0,Each photo is a shot right
91,catscorsones,"já beijei e alguns foram até bom, mas tbm tiveram uns que foram por pressão... eu gosto de beijar, mas não o tempo todo, muitas vezes isso é algo que me deixa bem desconfortável... https://t.co/FFyWvjvQBn",0,"I already kissed and some were even good, but there were also some who were under pressure ... I like to kiss, but not all the time, this is often something that makes me very uncomfortable ... https://t.co / FFyWvjvQBn"
92,beecIassy,"tomara q esse ano acabe logo, vou fazer 19 anos meu deus",0,"hopefully this year will end soon, I will turn 19 my god"
93,ggioganja,nossa vo manda um trampo tao loco na semana q vem q vocês nem esperam serio,1,wow i'm going to send a job so crazy next week that you guys don’t really expect
94,ncpvnk,Oi gente boa noite para me de xingar nos comentários,1,Hi guys good night to curse me in the comments
95,BegnisAna,as vezes me vem o pensamento: “será que eu já peguei covid?”,1,"sometimes the thought comes to me: ""have I ever taken covid?"""
96,queenyyeri,Madrugada melhor hora para comprar pack e bater uma ein,1,Early morning best time to buy pack and hit a huh
97,ggioganja,"meu deus eu escuto rbd e fico lembrando dos meus 7 anos:
esperava minha mae sair pra trabalhar, pegava o rádio e meu cd PIRATÃO do rbd; passava algum batom bonito dela, colocava um salto e ficava dançando na frente do espelho fingindo que tava num show",1,"my god i listen to rbd and keep remembering my 7 years:
I waited for my mother to go out to work, took the radio and my CD PIRATÃO do rbd; I used some pretty lipstick on her, put on a heel and kept dancing in front of the mirror pretending I was at a show"
98,hurtstolivliv,ia fazer um negócio e simplesmente esqueci... e eu era uma coisa mt AAAAA,0,I was going to do a deal and I just forgot ... and I was a big thing AAAAA
99,trevarrowlare,nossa mas que insuportável pqp,0,wow but how unbearable cuz
100,Menina7Virtuosa,"Hoje mesmo Deus envia providência em sua vida, em sua casa não vai faltar nada. Porque Deus está cuidando de tudo!",0,"Today even God sends providence in your life, in your house there will be nothing missing. Because God is taking care of everything!"
101,wtfnatan,nossa as mais injustiçadas pqp... https://t.co/K7mascOgE7,1,our most wronged pqp ... https://t.co/K7mascOgE7
102,onlyparrillax,freaks and geeks tão underrated https://t.co/5ZqC9cJFrs,1,freaks and geeks so underrated https://t.co/5ZqC9cJFrs
103,BegnisAna,"fico dia inteiro vendo show de mágica com meu pai, mt bom",1,"I spend a whole day watching a magic show with my father, very good"
104,azevedorar,"obrigado quem assistiu essa live de madruga 
tentarei fazer todo sábado isso 💙
um boa noite ao som de taylor swift https://t.co/PxFOi6zXr1",1,"thank you who watched this live early
I will try to do this every Saturday 💙
a good night to the sound of taylor swift https://t.co/PxFOi6zXr1"
105,f4bdolphin,"A Vitória é linda demais aaaa
#OQueAVidaMeRoubou101",0,"Victory is too beautiful aaaa
# OQueAVidaMeRoubou101"
106,sthe_nay,O incrível é que eu sonho com as coisas e acordo nervosa kkkk,0,The amazing thing is that I dream about things and wake up nervous kkkk
107,marquesdana1,"fiz o desenho pra bordar: não deu certo pois muito delicado e n tenho as habilidades 
porém o desenho ficou lindo e não quis desperdiçar (já tava no tecido né) e comecei a pintar ele... tá dando bom?",0,"I did the drawing to embroider: it didn't work because it is very delicate and I don't have the skills
but the drawing was beautiful and I didn't want to waste it (it was already in the fabric, right) and I started painting it ... is it working?"
108,niih_monteiiro,Mais que Karalhos está acontecendo com essa porra do among us,0,More that Karalhos is happening with that fucking of us
109,BegnisAna,cerveja + vodka da super certo para uma ótima ressaca https://t.co/gM0OX7vL2u,1,beer + vodka is super right for a great hangover https://t.co/gM0OX7vL2u
110,qualquerdanilo,gostoso — n sou :( https://t.co/7LXgKXwuWT,0,yummy - I'm not :( https://t.co/7LXgKXwuWT
111,rammassss,já perceberam que sapatao é sempre mais rica!!!!!,1,already realized that sapatao is always richer !!!!!
112,soerseI,raspei o cabelo dnv agora sim voltei a me sentir limpa,0,I shaved my dnv hair now yes I feel clean again
113,lIlIIIlllllIII,ainda bem que circulou se nao eu nao entenderia a imagem https://t.co/E817GPTbjK,1,I'm glad it circulated otherwise I wouldn't understand the image https://t.co/E817GPTbjK
114,duardokkkjj,"tarde tomando monster, deitado c meu gato e ouvindo música",0,"afternoon taking monster, lying with my cat and listening to music"
115,iasinhax,pq ng mais q eu gosto ta aparecendo na minha tl ?,0,why ng more do I like ta appearing in my tl?
116,38_rodry,A Bandeira mais linda do mundo. Fico emocionado...#Dia7deSetembroEuVou https://t.co/x7f1tfSMPs,0,The most beautiful flag in the world. I'm excited ... # Dia7deSetembroEuVou https://t.co/x7f1tfSMPs
117,38_rodry,Esse é o dia dos Patriotas reenvindicarem sua LIBERDADE. #PátriaamadaBrasil. #FechadoComBolsonaro https://t.co/7MqZCBg3Vp,0,This is the day for Patriots to claim their FREEDOM. # PátriaamadaBrasil. #FechadoComBolsonaro https://t.co/7MqZCBg3Vp
118,azevedorar,albo hoje 🙏 https://t.co/PtbSxKisMj,1,albo today 🙏 https://t.co/PtbSxKisMj
119,ccbutterby,Deus abençoe o feriado amanhã. Coisa mais linda saber que eu vou dormir até tarsena segunda,0,God bless the holiday tomorrow. Most beautiful thing to know that I will sleep until Tarsena Monday
120,MandsLoyy,"Não sei oq tá acontecendo esses dias. Tô chorando por tudo.
Minha plantinha morreu, tô chorando.
Tô lendo livro e acontece alguma coisa, tô chorando. 
A menina morreu no jogo, E TO EU LA CHORANDO DE NOVO AAAAA",0,"I don't know what's going on these days. I'm crying for everything.
My little plant died, I'm crying.
I'm reading a book and something happens, I'm crying.
The girl died in the game, AND TO I LA CRYING AGAIN AAAAA"
121,silvanay_,to ouvindo o podcast do dj zoinho 😚,0,I'm listening to the dj zoinho podcast 😚
122,rammassss,comendo massa de broa crua,1,eating raw corn bread
123,MalheiroReis,"Como vamos viver mais, vamos viver com a depressão também...",0,"As we will live longer, we will live with depression too ..."
124,euanacsilva,"Meus pais não querem ir comigo comprar, eu tb não quero ir sozinha",0,"My parents don't want to go shopping with me, I don't want to go alone"
125,alefrits,hj esta um dia lindo la fora !,1,today is a beautiful day outside!
126,themracle,quem amou a paula voltando as origens https://t.co/t90ziW1sVV,1,who loved paula back to origins https://t.co/t90ziW1sVV
127,babiisouuzza,"eu amo tanto quem eu tenho por perto hj, pq foi só eu postar ""to sozinha e triste"" que a krysla vai vim aq ficar cmg🥺🥺🥺🥺🥺🥺 eu amo tanto💗💗💗",0,"I love who I have around so much hj, because it was just me posting ""I'm alone and sad"" that Krysla will come here to stay cmg🥺🥺🥺🥺🥺🥺 I love it so much💗💗💗"
128,KaylayneMontei1,Tem muito chifre,0,It has a lot of horn
129,puppynee,minho também gosta de ser amarrado??? https://t.co/bn1yL3205u,0,mine also likes to be tied ??? https://t.co/bn1yL3205u
130,Tita_ffc,Filha ontem a noite foi foda... Até em briga eu me intrometi,0,Daughter last night was awesome ... Even in a fight I meddled
131,lwjhgj,"Não aguentaria perdê-lo mais uma vez. Por isso, o protejo com minha vida",0,I couldn't bear to lose him again. So I protect you with my life
132,2012_jairo,"A felicidade some, a paz é ofuscada por um sentimento de incompetência que só cria um forte questionamento a respeito da própria existência",1,"Happiness disappears, peace is overshadowed by a feeling of incompetence that only creates a strong question about existence itself"
133,rafaelbttncrt,"toda vez que vejo alguém falando ""trazer a periferia pro centro"" a pessoa não é periférica",1,"every time I see someone saying ""bring the periphery to the center"" the person is not peripheral"
134,mvtxsl,"o que eu não faço de xixi quando bebo água eu faço quando bebo cerveja, caralho irmão",0,"what I don't pee when I drink water I do when I drink beer, fuck brother"
135,silvanathan99,eu no meu velório verificando se colocaram a bandeira do Santos no meu caixão https://t.co/u42FeAOP83,1,me at my wake checking if the Santos flag was placed in my coffin https://t.co/u42FeAOP83
136,sthe_nay,"estou chapada, já quero mais",0,"I'm high, I want more"
137,lovelisona,mentalmente aqui https://t.co/0e9KyZYLVh,0,mentally here https://t.co/0e9KyZYLVh
138,Carolina_aaaaaa,"Lembrando de quando eu e o pedro fomos assistir, demos risada o filme todo, mó bom kkkk https://t.co/QYS5BVn7Om",0,"Remembering when Pedro and I went to watch, we laughed the whole movie, good kkkk https://t.co/QYS5BVn7Om"
139,henriquefobico,sim estou triste por ser feio e chato,0,yes i'm sad to be ugly and boring
140,Tita_ffc,Aos poucos vou vendo a consideração das pessoas,0,Gradually I see the consideration of people
141,GaOliLu25,"Netflix lançou um filme bom pra carai e ninguém fazendo hashtag pra incentivar os outros a assistirem 
Netflix é foda oq mata são os fandoms",1,"Netflix released a really good movie and nobody doing a hashtag to encourage others to watch it
Netflix is ​​awesome what kills are fandoms"
142,ccbutterby,Yan ta compensando oq ele não ta tropeçando andando na rua em casa mesmo,0,Yan is making up for what he is not stumbling about walking down the street at home
143,mrcomsts,VL deixou de ser fominha aí saiu gol jkkkkkkkkk,0,VL stopped being fominha there came a goal jkkkkkkkkk
144,poxaaa_ca,mas c os amigos.... KKKKKKKKKKKKKKK aí,0,but c the friends .... KKKKKKKKKKKKKKK there
145,fuckjxxnny_oh,fodase mano eu meio q nao me importo +,1,fuck bro I kinda don't care +
146,f4bdolphin,"Nao sei quem odeio mais, Clara ou Doris https://t.co/Eeis2HR1FM",0,"I don't know who I hate the most, Clara or Doris https://t.co/Eeis2HR1FM"
147,villagebyun,sentimento de insuficiência é tão triste,0,insufficient feeling is so sad
148,Layllarexl,"Silêncio,o jovens descobriram que a   Globo e companhia são racistas e xenofobicos.",0,"Silence, the youth discovered that Globo and company are racist and xenophobic."
149,odeiobozonaro,O ato falho no clarear https://t.co/NMoS0TglyU,1,The act failed to lighten https://t.co/NMoS0TglyU
150,SuelenSoaresss,A hora q eu acordei kkk um pouco ansiosa talvez? ;-;,0,The time I woke up kkk a little anxious maybe? ; -;
151,qualquerdanilo,alguma chance de vc me mostrar se aparecer na dm? — mostro https://t.co/F4U94I3Mzg,0,any chance you will show me if you show up at the dm? - show https://t.co/F4U94I3Mzg
152,iasinhax,oi amor sera q vc pode ir ver meu vídeo no status e me elogiar ? estou ficando triste já !,0,hi love sera q can you go to see my video in status and praise me? I'm getting sad already!
153,kataventu,as sobrancelhas ficaram branquinhas desta vez acerteii,0,the eyebrows were white this time I got it right
154,sicmunddus,ja vi 4 aulas sera que posso fazer uma pausa,0,I already saw 4 classes I will be able to take a break
155,abiiior,"inferno essas pessoas low profile toma no cu

como vou saber se é solteira ou nao???",0,"hell these low profile people take it in the ass

how will I know if you are single or not ???"
156,PortalOndreazBR,Tradução do TikTok de ontem! 💕 https://t.co/uKcLW5d9wt https://t.co/Yr1uDQP9iu,0,Yesterday's TikTok translation! 💕 https://t.co/uKcLW5d9wt https://t.co/Yr1uDQP9iu
157,BegnisAna,coloquei pão de queijo no forno e n posso mimir enquanto isso,1,I put cheese bread in the oven and I can’t mimic in the meantime
158,stan_stanbp,"Cansei cara,eu n consigo mais",0,"I'm tired man, I can't get any more"
159,expansaomental,Eu não chupo carne mijada (bct),1,I don't suck pissed meat (bct)
160,CrazyGabiNeves,"A esquerda quer provar que o Bolsonaro ta errado, e quer derruba-lo em uma rasteira que ele não consiga se levantar. E o Presidente por sua vez esta ignorando as decisões sensatas só pra provar que a esquerda ta errada. E quem vai tomar no cu no final? Nós.",0,"The left wants to prove that Bolsonaro is wrong, and wants to bring him down in a sweep that he can't get up. And the President in turn is ignoring sensible decisions just to prove that the left is wrong. And who will take it in the ass in the end? We."
161,azevedorar,"WTF
os cara vão jogar com sol na cara? https://t.co/j9QQo5cfrG",1,"WTF
will the guys play with sun on their faces? https://t.co/j9QQo5cfrG"
